lon,lat,so2,no2,voc,co,pm25,pm10,nh3
103.562199116,29.1213266992,0.0,0.0,0.0,0.0,0.0,0.0,0.946616318538
103.593363306,29.1214719766,0.0,0.0,0.0,0.0,0.0,0.0,0.87911143947
103.6245276,29.1216084495,0.0,0.0,0.0,0.0,0.0,0.0,0.627979111287
103.65569199,29.1217361179,0.0,0.0,0.0,0.0,0.0,0.0,0.749346113109
103.68685647,29.1218549818,0.0,0.0,0.0,0.0,0.0,0.0,1.47523334036
103.718021034,29.1219650411,0.0,0.0,0.0,0.0,0.0,0.0,1.67049257747
103.749185676,29.1220662959,0.0,0.0,0.0,0.0,0.0,0.0,1.90943802039
103.780350389,29.122158746,0.0,0.0,0.0,0.0,0.0,0.0,1.91127464886
103.811515166,29.1222423914,0.0,0.0,0.0,0.0,0.0,0.0,1.036049158
103.842680001,29.1223172322,0.0,0.0,0.0,0.0,0.0,0.0,2.90307637961
103.873844888,29.1223832682,0.0,0.0,0.0,0.0,0.0,0.0,2.49077537159
103.90500982,29.1224404995,0.0,0.0,0.0,0.0,0.0,0.0,2.59327744871
103.936174791,29.1224889259,0.0,0.0,0.0,0.0,0.0,0.0,2.72670586682
103.967339794,29.1225285476,0.0,0.0,0.0,0.0,0.0,0.0,2.44445280024
103.998504823,29.1225593645,0.0,0.0,0.0,0.0,0.0,0.0,2.83661079399
104.029669871,29.1225813766,0.0,0.0,0.0,0.0,0.0,0.0,4.18616458213
104.060834932,29.1225945838,0.0,0.0,0.0,0.0,0.0,0.0,3.4644891405
104.092,29.1225989862,0.0,0.0,0.0,0.0,0.0,0.0,3.10245498199
104.123165068,29.1225945838,0.0,0.0,0.0,0.0,0.0,0.0,4.1770138059
104.154330129,29.1225813766,0.0,0.0,0.0,0.0,0.0,0.0,3.9678870146
104.185495177,29.1225593645,0.0,0.0,0.0,0.0,0.0,0.0,3.14045173962
104.216660206,29.1225285476,0.0,0.0,0.0,0.0,0.0,0.0,2.01608955311
104.247825209,29.1224889259,0.0,0.0,0.0,0.0,0.0,0.0,3.72464164958
104.27899018,29.1224404995,0.0,0.0,0.0,0.0,0.0,0.0,2.42495493139
104.310155112,29.1223832682,0.0,0.0,0.0,0.0,0.0,0.0,2.42703109144
104.341319999,29.1223172322,0.0,0.0,0.0,0.0,0.0,0.0,3.09679580824
104.372484834,29.1222423914,0.0,0.0,0.0,0.0,0.0,0.0,3.7646423337
104.403649611,29.122158746,0.0,0.0,0.0,0.0,0.0,0.0,4.04670672924
104.434814324,29.1220662959,0.0,0.0,0.0,0.0,0.0,0.0,3.53005881568
104.465978966,29.1219650411,0.0,0.0,0.0,0.0,0.0,0.0,3.73735888268
