ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
412,37.51947789,105.6131394,2.62,164,187,2.54,3259,,,,,,,,51184,4.8964,2.8688,0.0122,0.5921,0,0,0
413,37.5197974,105.7863949,6.56,164,203,1.5,3000,,,,,,,,51184,20.3221,11.9075,0.0508,2.4572,4.5249,7.9383,7.9383
414,37.51983181,105.8210461,4.92,148,201,0.1,2000,,,,,,,,51122,2.1908,0.1753,0.0019,0.0921,0.6957,1.2205,1.2205
415,37.51985639,105.8556974,2.62,164,187,44.46,3259,,,,,,,,51122,19.5614,9.064,0.11,5.2914,3.9033,6.8479,6.8479
416,37.51727579,106.721962,2.62,164,187,3.13,3259,,,,,,,,51184,22.5802,13.2306,0.0564,2.7302,0,0,0
417,37.51704477,106.7566108,3.94,131,189,16.63,3400,,,,,,,,51184,90.0671,52.7734,0.2251,10.8901,20.0539,35.1823,35.1823
418,37.54696101,105.6130278,2.95,131,174,4.44,3400,,,,,,,,51184,1.6935,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
419,37.54704461,105.6476911,9.84,197,189,0.38,2600,,,,,,,,51184,35.846,7.3749,0.0896,4.3342,7.9813,14.0023,14.0023
420,37.54733964,105.8556726,2.62,164,237,2.05,3200,,,,,,,,51184,7.9031,4.6307,0.0198,0.9556,1.7597,3.0871,3.0871
421,37.54735439,105.8903363,3.28,180,246,9.01,3400,,,,,,,,51184,14.1126,8.2691,0.0353,1.7064,3.1423,5.5127,5.5127
422,37.54452704,106.7569084,2.62,148,234,5.15,200,,,,,,,,51184,3.881,3.6384,0.0155,0.7508,1.3826,2.4256,2.4256
423,37.54428611,106.7915694,2.62,164,187,3.13,3259,,,,,,,,51184,22.5802,13.2306,0.0564,2.7302,0,0,0
424,37.57483735,105.8903239,2.62,164,187,7.82,3259,,,,,,,,51184,56.4504,33.0764,0.1411,6.8255,0,0,0
425,37.571768,106.7918796,2.62,164,187,1.96,3259,,,,,,,,51184,14.1126,8.2691,0.0353,1.7064,0,0,0
426,37.57151715,106.8265528,4.92,148,201,4,2000,,,,,,,,51184,16.9351,9.9229,0.0423,2.0477,3.7707,6.6153,6.6153
427,37.60232,105.8903115,2.62,164,187,167.28,3259,,,,,,,,51122,6.7707,3.1367,0.0353,1.7064,1.3509,2.3699,2.3699
428,37.60232493,105.925,2.62,164,187,45.96,3259,,,,,,,,51122,48.5253,22.4864,0.2751,13.3097,9.6829,16.9875,16.9875
429,37.60230524,105.994377,1.31,98,221,5.3,2800,,,,,,,,51122,6.0861,0.4862,0.0053,0.256,1.9372,3.3986,3.3986
430,37.60228064,106.0290655,9.84,197,189,0.44,2600,,,,,,,,51184,21.1689,4.9615,0.0529,2.5596,4.7134,8.2691,8.2691
431,37.6022462,106.063754,3.28,180,246,0.79,3400,,,,,,,,51184,1.6935,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
432,37.59899865,106.8268756,2.62,164,187,10.56,3259,,,,,,,,51184,25.4027,14.8844,0.0635,3.0715,0,0,0
433,37.59873787,106.861561,4.92,148,201,0.67,2000,,,,,,,,51184,1.129,0.6615,0.0028,0.1365,0.2514,0.441,0.441
